Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
2002-02-18,51.9,51.9,43.5,44.35,44.7,10381190,,,,,,,,
2002-02-19,45.15,45.15,41.3,41.7,41.35,3552660,,,44.35,-2.6499999999999986,-0.059751972942502785,10381190.0,-6828530.0,-0.6577791178082667
2002-02-20,40.6,42.8,40.25,41.25,41.2,2512964,,,41.7,-0.45000000000000284,-0.010791366906474864,3552660.0,-1039696.0,-0.29265282914773716
2002-02-21,42.85,43.4,42.15,42.4,42.2,1338196,,,41.25,1.1499999999999986,0.027878787878787836,2512964.0,-1174768.0,-0.46748302005122233
2002-02-22,42.65,43.6,41.1,43.3,43.35,811327,,,42.4,0.8999999999999986,0.021226415094339535,1338196.0,-526869.0,-0.3937158682285704
2002-02-25,45.5,45.5,42.65,42.8,42.95,454151,,,43.3,-0.5,-0.011547344110854452,811327.0,-357176.0,-0.4402367972469793
2002-02-26,43.15,44.2,42.9,43.6,43.7,894960,,,42.8,0.8000000000000043,0.01869158878504673,454151.0,440809.0,0.9706221058634683
2002-02-27,43.95,46.3,43.75,44.65,44.45,3271361,,,43.6,1.0499999999999972,0.02408256880733939,894960.0,2376401.0,2.655315321355144
2002-02-28,46.0,46.8,40.8,41.5,41.4,4429634,,,44.65,-3.1499999999999986,-0.07054871220604697,3271361.0,1158273.0,0.35406456211955817
2002-03-01,42.0,43.4,41.8,42.5,42.45,942785,,,41.5,1.0,0.024096385542168752,4429634.0,-3486849.0,-0.7871641313932483
2002-03-04,43.1,44.25,42.85,43.3,43.25,615152,,,42.5,0.7999999999999972,0.018823529411764683,942785.0,-327633.0,-0.3475161357043228
2002-03-05,44.2,45.5,43.7,45.3,45.35,1490137,,,43.3,2.0,0.04618937644341803,615152.0,874985.0,1.4223882877727783
2002-03-06,45.9,46.7,44.8,45.1,45.35,1989742,,,45.3,-0.19999999999999574,-0.004415011037527505,1490137.0,499605.0,0.3352745418709824
