Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
2000-01-03,166.0,170.0,166.0,170.0,170.0,33259,,,,,,,,
2000-01-04,182.0,183.45,171.0,173.8,174.0,168710,,,170.0,3.8000000000000114,0.022352941176470686,33259.0,135451.0,4.07261192459184
2000-01-05,170.0,173.9,165.0,166.95,168.0,159820,,,173.8,-6.850000000000023,-0.039413118527042657,168710.0,-8890.0,-0.052693971904451464
2000-01-06,168.0,170.0,165.3,168.3,168.95,85026,,,166.95,1.3500000000000227,0.008086253369272267,159820.0,-74794.0,-0.46798898761106245
2000-01-07,162.15,171.0,162.15,168.35,170.75,85144,,,168.3,0.04999999999998295,0.00029708853238252786,85026.0,118.0,0.001387810787288668
2000-01-10,172.9,179.5,165.0,165.9,166.3,100434,,,168.35,-2.4499999999999886,-0.014553014553014498,85144.0,15290.0,0.17957812646810112
2000-01-11,166.5,167.9,157.0,163.4,163.0,145784,,,165.9,-2.5,-0.015069318866787196,100434.0,45350.0,0.45154031503275793
2000-01-12,163.75,167.95,162.3,165.45,165.1,85952,,,163.4,2.049999999999983,0.012545899632802726,145784.0,-59832.0,-0.41041540909839214
2000-01-13,169.9,169.9,165.0,165.1,165.95,48276,,,165.45,-0.3499999999999943,-0.0021154427319431957,85952.0,-37676.0,-0.43833767684288905
2000-01-14,168.0,168.0,164.0,165.45,166.0,58152,,,165.1,0.3499999999999943,0.00211992731677757,48276.0,9876.0,0.20457370121799645
2000-01-17,174.0,178.7,172.05,178.7,178.7,137404,,,165.45,13.25,0.08008461770927777,58152.0,79252.0,1.3628422066308983
2000-01-18,178.7,178.7,164.55,165.7,168.2,255652,,,178.7,-13.0,-0.07274762171236715,137404.0,118248.0,0.8605863002532677
2000-01-19,172.0,179.0,172.0,179.0,179.0,349818,,,165.7,13.300000000000011,0.0802655401327701,255652.0,94166.0,0.3683366451269694
2000-01-20,184.8,184.8,176.0,178.6,177.8,269098,,,179.0,-0.4000000000000057,-0.0022346368715083775,349818.0,-80720.0,-0.23074856068012506
2000-01-21,176.0,192.0,172.1,188.15,191.0,472329,,,178.6,9.550000000000011,0.0534714445688691,269098.0,203231.0,0.7552304364952545
2000-01-24,198.8,203.2,193.0,200.55,200.9,449366,,,188.15,12.400000000000006,0.06590486314111077,472329.0,-22963.0,-0.048616536354956
2000-01-25,199.0,216.6,199.0,216.6,216.6,290291,,,200.55,16.049999999999983,0.08002991772625268,449366.0,-159075.0,-0.3539987448983679
2000-01-27,224.0,233.95,221.25,229.7,228.0,563582,,,216.6,13.099999999999994,0.060480147737765444,290291.0,273291.0,0.9414380742082944
2000-01-28,230.0,233.0,224.0,227.9,226.0,479165,,,229.7,-1.799999999999983,-0.007836308228123534,563582.0,-84417.0,-0.14978654392794655
2000-01-31,230.1,246.15,230.1,237.75,234.1,637380,,,227.9,9.849999999999994,0.04322071083808687,479165.0,158215.0,0.33018897457034635
2000-02-01,236.0,244.0,235.0,240.95,241.0,390779,,,237.75,3.1999999999999886,0.013459516298633067,637380.0,-246601.0,-0.386897925884088
2000-02-02,260.2,260.25,239.0,244.0,240.0,343832,,,240.95,3.0500000000000114,0.012658227848101333,390779.0,-46947.0,-0.12013695720599116
2000-02-03,244.0,250.0,224.5,225.95,226.25,284687,,,244.0,-18.05000000000001,-0.07397540983606565,343832.0,-59145.0,-0.1720171479094441
2000-02-04,229.95,232.0,217.5,228.95,230.25,265704,,,225.95,3.0,0.013277273733126815,284687.0,-18983.0,-0.06668024883468515
2000-02-07,235.0,247.3,230.0,246.7,244.75,389035,,,228.95,17.75,0.07752784450753447,265704.0,123331.0,0.4641668924818596
2000-02-08,250.0,253.8,240.1,250.75,253.0,305208,,,246.7,4.050000000000011,0.016416700445885724,389035.0,-83827.0,-0.21547418612721225
2000-02-09,255.0,261.0,246.1,252.5,251.0,317233,,,250.75,1.75,0.006979062811565351,305208.0,12025.0,0.039399360436161546
2000-02-10,250.0,262.0,248.25,251.75,251.0,210086,,,252.5,-0.75,-0.002970297029702973,317233.0,-107147.0,-0.33775489939571235
2000-02-11,255.1,259.0,231.65,232.1,233.0,264823,,,251.75,-19.650000000000006,-0.07805362462760679,210086.0,54737.0,0.26054568129242317
2000-02-14,235.0,235.0,220.15,233.45,234.0,252544,,,232.1,1.3499999999999943,0.005816458423093529,264823.0,-12279.0,-0.046366818592040726
2000-02-15,234.0,235.0,225.1,227.6,230.0,194087,,,233.45,-5.849999999999994,-0.02505889912186765,252544.0,-58457.0,-0.23147253547896607
2000-02-16,244.9,245.85,230.0,245.85,245.85,70600,,,227.6,18.25,0.0801845342706502,194087.0,-123487.0,-0.6362456011994622
2000-02-17,257.7,257.7,248.15,250.4,248.15,234160,,,245.85,4.550000000000011,0.018507219849501766,70600.0,163560.0,2.31671388101983
2000-02-18,251.0,253.0,239.0,242.6,243.0,118777,,,250.4,-7.800000000000011,-0.031150159744409045,234160.0,-115383.0,-0.4927528185855825
2000-02-21,243.25,248.0,235.1,236.15,235.6,110472,,,242.6,-6.449999999999989,-0.02658697444352842,118777.0,-8305.0,-0.06992094429056128
2000-02-22,236.05,240.0,217.3,217.55,217.3,174806,,,236.15,-18.599999999999994,-0.07876349777683678,110472.0,64334.0,0.5823557100441741
