Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
2000-01-03,237.5,251.7,237.5,251.7,251.7,4456424,,,,,,,,
2000-01-04,258.4,271.85,251.3,271.85,271.85,9487878,,,251.7,20.150000000000034,0.0800556217719508,4456424.0,5031454.0,1.1290339518860861
2000-01-05,256.65,287.9,256.65,282.5,286.75,26833684,,,271.85,10.649999999999977,0.039176016185396234,9487878.0,17345806.0,1.8282071080593574
2000-01-06,289.0,300.7,289.0,294.35,293.5,15682286,,,282.5,11.850000000000023,0.041946902654867335,26833684.0,-11151398.0,-0.41557461882609936
2000-01-07,295.0,317.9,293.0,314.55,314.5,19870977,,,294.35,20.19999999999999,0.06862578562935284,15682286.0,4188691.0,0.2670969653276314
2000-01-10,317.4,318.7,305.3,308.5,306.65,13417057,,,314.55,-6.050000000000011,-0.01923382610077895,19870977.0,-6453920.0,-0.3247912772482199
2000-01-11,307.95,310.95,283.85,288.5,288.5,12544322,,,308.5,-20.0,-0.06482982171799023,13417057.0,-872735.0,-0.06504667901463046
2000-01-12,289.0,305.0,282.15,301.7,304.7,12109507,,,288.5,13.199999999999989,0.04575389948006925,12544322.0,-434815.0,-0.034662295817980415
2000-01-13,306.0,316.4,304.1,311.85,309.75,17076042,,,301.7,10.150000000000034,0.0336426914153134,12109507.0,4966535.0,0.4101351937779134
2000-01-14,309.5,321.65,309.5,316.3,317.0,13460592,,,311.85,4.449999999999989,0.014269680936347617,17076042.0,-3615450.0,-0.21172646448164045
2000-01-17,318.25,322.9,307.05,308.75,307.5,10729180,,,316.3,-7.550000000000011,-0.02386974391400576,13460592.0,-2731412.0,-0.20291915838471297
2000-01-18,309.0,318.95,305.55,314.2,318.25,10083321,,,308.75,5.449999999999989,0.01765182186234804,10729180.0,-645859.0,-0.06019649218300005
2000-01-19,322.85,324.9,316.2,319.6,318.8,11481392,,,314.2,5.400000000000034,0.017186505410566655,10083321.0,1398071.0,0.1386518390121667
2000-01-20,320.0,324.9,310.55,312.85,311.5,15428711,,,319.6,-6.75,-0.02112015018773472,11481392.0,3947319.0,0.3438014310459916
2000-01-21,312.7,328.4,312.0,326.35,327.5,17137072,,,312.85,13.5,0.04315167012945498,15428711.0,1708361.0,0.1107261001907418
2000-01-24,325.5,331.85,322.0,326.15,326.5,13163301,,,326.35,-0.20000000000004547,-0.0006128389765590603,17137072.0,-3973771.0,-0.2318815606306608
2000-01-25,325.05,325.3,318.25,319.95,321.05,9752949,,,326.15,-6.199999999999989,-0.01900965813276101,13163301.0,-3410352.0,-0.25908030212178546
2000-01-27,329.0,336.8,322.7,334.95,334.5,15014556,,,319.95,15.0,0.04688232536333792,9752949.0,5261607.0,0.5394888253798928
2000-01-28,335.9,341.9,331.6,338.35,337.25,11734252,,,334.95,3.400000000000034,0.010150768771458596,15014556.0,-3280304.0,-0.21847492526585532
2000-01-31,334.45,336.0,326.55,328.15,327.05,10191331,,,338.35,-10.200000000000045,-0.030146298211910838,11734252.0,-1542921.0,-0.13148865389971176
2000-02-01,330.8,337.45,328.0,334.05,336.05,10707804,,,328.15,5.900000000000034,0.01797958250799958,10191331.0,516473.0,0.05067767890180397
2000-02-02,342.9,346.9,338.55,340.15,339.1,9950848,,,334.05,6.099999999999966,0.018260739410267846,10707804.0,-756956.0,-0.07069199249444613
2000-02-03,342.0,343.5,336.4,341.65,342.5,6771527,,,340.15,1.5,0.004409819197412901,9950848.0,-3179321.0,-0.319502518780309
2000-02-04,344.0,347.35,341.7,344.15,342.75,7106910,,,341.65,2.5,0.007317430118542356,6771527.0,335383.0,0.04952841508274286
2000-02-07,341.1,349.45,338.05,343.6,343.0,8193641,,,344.15,-0.5499999999999545,-0.0015981403457793197,7106910.0,1086731.0,0.1529118843491757
2000-02-08,345.5,346.9,341.05,342.4,342.1,6430661,,,343.6,-1.2000000000000455,-0.0034924330616997734,8193641.0,-1762980.0,-0.21516441835809008
2000-02-09,349.0,354.65,344.8,350.4,346.7,11436821,,,342.4,8.0,0.02336448598130847,6430661.0,5006160.0,0.7784829584392647
2000-02-10,348.8,363.8,344.9,355.75,363.0,10792579,,,350.4,5.350000000000023,0.015268264840182733,11436821.0,-644242.0,-0.056330513522944936
2000-02-11,364.0,374.0,360.05,363.3,361.4,8155627,,,355.75,7.550000000000011,0.02122276879831353,10792579.0,-2636952.0,-0.24433010867930638
2000-02-14,359.0,360.9,350.0,352.1,350.8,5127399,,,363.3,-11.199999999999989,-0.030828516377649273,8155627.0,-3028228.0,-0.37130535763835204
2000-02-15,352.0,354.4,342.05,344.35,343.5,8124337,,,352.1,-7.75,-0.02201079238852599,5127399.0,2996938.0,0.5844947896584605
2000-02-16,350.0,353.8,343.1,348.15,346.75,7876392,,,344.35,3.7999999999999545,0.01103528386815733,8124337.0,-247945.0,-0.03051879802622659
2000-02-17,347.7,356.8,347.5,354.55,355.4,7670820,,,348.15,6.400000000000034,0.018382880942122704,7876392.0,-205572.0,-0.02609976750776244
2000-02-18,356.9,357.95,348.0,349.45,350.3,5030667,,,354.55,-5.100000000000023,-0.014384430968833795,7670820.0,-2640153.0,-0.34418132611637353
